survey,cycles,released,under_20,age_missing,aged_20_plus,no_valid_weight,no_stratum,no_psu,excluded_design,analysed,strata,psu,design_df
KNHANES,18,140372,30133,0,110239,4483,0,0,4483,105756,467,3368,2901
NHANES,8,82123,34565,0,47558,3309,0,0,3309,44249,120,244,124
