outcome,label,published,n_published,mec_fasting,saf_fasting,n_fasting,diff_saf_minus_published,diff_saf_minus_mec
dm,Diabetes mellitus,13.005732619419867,42298,14.04107201041905,13.726516966202487,19192,0.7207843467826205,-0.3145550442165632
prediabetes,Prediabetes,32.23490737615195,42298,44.4183752705988,44.125707552789784,19192,11.890800176637832,-0.29266771780901735
mets,Metabolic syndrome,37.28411748571155,18068,37.45375910176534,36.95819863003537,17019,-0.3259188556761785,-0.49556047172997353
insulin_resistance,Insulin resistance (HOMA-IR>=2.5),47.63475524215635,20177,47.08808712682932,46.88023677079129,18700,-0.7545184713650599,-0.20785035603802982
high_tg,Hypertriglyceridemia (NCEP TG>=150),25.29942943607928,20241,24.826306903325484,24.64759688885081,18902,-0.6518325472284694,-0.1787100144746745
high_ldl,High LDL cholesterol (>=160),9.754852863604832,19899,9.812175110979394,9.73769540767853,18598,-0.017157455926302134,-0.07447970330086484
atherogenic_dyslipidemia,Atherogenic dyslipidemia (high TG + low HDL),13.022576675065892,20241,12.966394865964809,12.860781381347817,18902,-0.16179529371807533,-0.10561348461699183
dyslipidemia,Dyslipidemia (KSoLA composite),51.479627094191585,41911,51.28936716451711,50.77797324230999,18997,-0.7016538518815949,-0.5113939222071195
masld,MASLD,52.27429368988027,4575,52.5592202514406,52.928097917990435,2053,0.6538042281101681,0.3688776665498352
