survey,outcome,measure,pairs,sig,pct_sig,med_eff,med_n,min_n,max_n
KNHANES,"ASM / height^2, kg/m2",beta,47,25,53.191489361702125,0.0567380785771443,6576.0,6576,6576
KNHANES,"Low muscle mass (low ASMI, AWGS cut)",OR,47,27,57.4468085106383,0.21752158469615615,6576.0,6576,6576
KNHANES,Abdominal obesity,OR,46,42,91.30434782608695,0.41543907050367346,37240.0,37240,37240
KNHANES,"Body mass index, kg/m2",beta,46,42,91.30434782608695,1.00158642831459,37315.0,37315,37315
KNHANES,Central obesity (WHtR>=0.5),OR,46,40,86.95652173913044,0.5074720103097716,37073.0,37073,37073
KNHANES,"Height, cm",beta,46,25,54.34782608695652,0.186808979744029,37336.0,37336,37336
KNHANES,"Obesity (KSSO >=25 / WHO >=30, country-specific)",OR,46,41,89.1304347826087,0.4586324990977066,37315.0,37315,37315
KNHANES,"Overweight (KSSO >=23 / WHO >=25, country-specific)",OR,46,42,91.30434782608695,0.4973282368500663,37315.0,37315,37315
KNHANES,"Waist circumference, cm",beta,46,41,89.1304347826087,2.524014330993965,37240.0,37240,37240
KNHANES,"Weight, kg",beta,46,26,56.52173913043478,0.15842466342112,37480.0,37480,37480
KNHANES,Waist-to-height ratio,beta,46,40,86.95652173913044,0.00290287049212315,37073.0,37073,37073
KNHANES,Metabolic syndrome,OR,43,41,95.34883720930233,0.4780761372979873,34356.0,34356,34356
KNHANES,Hepatic steatosis index (HSI),beta,40,37,92.5,0.616871799982994,35562.0,35562,35562
KNHANES,Hepatic steatosis,OR,29,27,93.10344827586206,0.4185609136858713,35562.0,35562,35562
KNHANES,MASLD,OR,26,23,88.46153846153847,0.4302921782546866,34840.0,34840,34840
NHANES,Ever alcohol (past/current),OR,68,41,60.294117647058826,0.1465855433573809,24112.0,24112,24112
NHANES,"Gamma-glutamyl transferase, IU/L",beta,68,57,83.82352941176471,4.374896855678765,24980.0,24980,24980
NHANES,"Serum uric acid, mg/dL",beta,68,54,79.41176470588235,0.17823195292869548,24980.0,24980,24980
NHANES,Current smoking,OR,67,45,67.16417910447761,0.2265426383324634,26876.0,26876,26876
NHANES,"Femoral neck BMD, g/cm2",beta,67,35,52.23880597014925,0.0071904747683776,11316.0,11316,11316
NHANES,"Hemoglobin, g/dL",beta,67,49,73.13432835820896,0.106229831812647,25491.0,25491,25491
NHANES,Leukocytosis (WBC>11),OR,67,43,64.17910447761194,0.3825844863593142,25491.0,25491,25491
NHANES,"Lumbar spine BMD, g/cm2",beta,67,40,59.701492537313435,0.0133826377361203,8787.0,8787,8787
NHANES,Ever smoking (past/current),OR,67,38,56.71641791044776,0.09895865166976872,26876.0,26876,26876
NHANES,"Serum 25(OH)D, ng/mL",beta,67,41,61.19402985074627,1.00214528419333,24836.0,24836,24836
