papers,in_corpus,abs_log_or,a,b
1,False,,"Systolic blood pressure, mmHg",Metabolic syndrome
1,True,,"Age, years","HbA1c, %"
5,True,,"Femoral neck BMD, g/cm2","Body mass index, kg/m2"
2,True,0.3852448946222496,"HbA1c, %",Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30)
4,True,0.317983775620261,"Serum 25(OH)D, ng/mL",Anemia (WHO)
1,True,0.23273559876276723,"Low muscle mass (low ASMI, AWGS cut)","White blood cell count, 10^3/uL"
7,True,0.8809017137557531,"Femoral neck BMD, g/cm2","Obesity (KSSO >=25 / WHO >=30, country-specific)"
6,True,0.21743795638856808,Hypertension,Ever alcohol (past/current)
1,True,0.19376709143564988,"Osteoporosis (T-score<=-2.5, age>=50)","Serum creatinine, mg/dL"
2,True,0.0584333151892505,"Serum 25(OH)D, ng/mL",Hypertension
2,True,0.5013568161991582,"Low muscle mass (low ASMI, AWGS cut)",Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30)
1,False,,"Hemoglobin, g/dL",Anemia (WHO)
1,True,0.07278675760447947,Advanced liver fibrosis (FIB-4>2.67),"Triglycerides, mg/dL"
6,True,,"Femoral neck BMD, g/cm2","Serum uric acid, mg/dL"
4,True,0.35147270223686167,"Serum 25(OH)D, ng/mL","Obesity (KSSO >=25 / WHO >=30, country-specific)"
1,True,0.1368828592948817,Ever alcohol (past/current),"Hemoglobin, g/dL"
1,True,2.03287053062621,Insulin resistance (HOMA-IR>=2.5),"Obesity (KSSO >=25 / WHO >=30, country-specific)"
1,True,0.4379888080851085,Male sex,Metabolic syndrome
4,True,0.24386163133299124,Ever alcohol (past/current),"Femoral neck BMD, g/cm2"
2,True,0.05097484435898101,Ever smoking (past/current),"Obesity (KSSO >=25 / WHO >=30, country-specific)"
1,True,,"eGFR (CKD-EPI 2021), mL/min/1.73m2","Hemoglobin, g/dL"
2,True,0.25965261523450384,Ever alcohol (past/current),Dyslipidemia (KSoLA composite)
5,True,0.15106090211361076,Diabetes mellitus,"Femoral neck BMD, g/cm2"
3,False,,"Low muscle mass (low ASMI, AWGS cut)",Hepatic steatosis
1,True,,"Serum 25(OH)D, ng/mL","Alanine aminotransferase, IU/L"
2,True,0.029854127116115122,Ever smoking (past/current),"Body mass index, kg/m2"
1,True,,"Body fat, %","HbA1c, %"
1,True,,"Total lean mass, kg","HbA1c, %"
1,True,0.22397719826847184,"Platelet count, 10^3/uL","Obesity (KSSO >=25 / WHO >=30, country-specific)"
1,True,0.442048202242489,Vitamin D deficiency (<20 ng/mL),Metabolic syndrome
2,True,,"Femoral neck BMD, g/cm2","Hemoglobin, g/dL"
4,True,0.41982857303218263,Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30),"Obesity (KSSO >=25 / WHO >=30, country-specific)"
4,True,0.2328598980357011,Ever smoking (past/current),Hypertension
2,True,0.3276205301015707,Hepatic steatosis,Vitamin D deficiency (<20 ng/mL)
1,True,0.14889861013975353,Ever alcohol (past/current),Abdominal obesity
2,True,0.35096744776291494,"Low muscle mass (low ASMI, AWGS cut)",Ever alcohol (past/current)
1,False,,"Overweight (KSSO >=23 / WHO >=25, country-specific)","Height, cm"
1,True,0.3966881090731517,Insulin resistance (HOMA-IR>=2.5),"White blood cell count, 10^3/uL"
1,True,0.130978648645381,Diabetes mellitus,"Systolic blood pressure, mmHg"
2,True,0.7656620945223557,Abdominal obesity,"Femoral neck BMD, g/cm2"
2,True,1.7692330001942354,Ever smoking (past/current),Ever alcohol (past/current)
1,True,0.1300878786653043,Ever smoking (past/current),"HbA1c, %"
1,True,0.08731956022236101,"Platelet count, 10^3/uL",Insulin resistance (HOMA-IR>=2.5)
1,True,,"Total fat mass, kg","Serum 25(OH)D, ng/mL"
1,True,0.3175693124808331,"Low muscle mass (low ASMI, AWGS cut)",Advanced liver fibrosis (FIB-4>2.67)
