exp,out,measure,est,lo,hi,p,n,adj,q
high_ldl,whtr,beta,0.0017152471075181,-0.00014409018293,0.0035745843979663,0.0707245815577173,37073,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.09054597464423131
high_nonhdl,whtr,beta,0.0040472230035422,0.0028520064308462,0.0052424395762382,3.81114851086706e-11,37073,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",8.907010653798132e-11
atherogenic_dyslipidemia,whtr,beta,0.0050760631491707,0.004112288738019,0.0060398375603225,1.47400177402984e-24,37073,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",4.982182579782243e-24
insulin_resistance,whtr,beta,0.00630368506797,0.00516225418436,0.0074451159515801,3.75877304639196e-26,37073,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.3146374051035237e-25
ckd,whtr,beta,0.0055684660449608,0.0039383785705107,0.0071985535194108,2.94808449894546e-11,37073,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",6.926720217001941e-11
high_alt,whtr,beta,0.0049821480584314,0.0038409549690532,0.0061233411478096,1.85411805446323e-17,37073,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",5.228345706821054e-17
high_ast,whtr,beta,0.0043097617456435,0.0026908193084776,0.0059287041828094,1.93999474203236e-07,37073,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",3.8844010696065783e-07
adv_fibrosis,whtr,beta,0.0013362982798889,-0.0006190116599373,0.0032916082197151,0.180515857329606,37073,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.2175827684855826
anemia,whtr,beta,-0.0007195094365959,-0.0019553800004891,0.0005163611272971,0.253927467738844,37073,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.29801150995541775
leukocytosis,whtr,beta,0.0094553669946236,0.0062810298285925,0.0126297041606546,5.863447332160831e-09,37073,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.2553836780468357e-08
vitd_deficiency,whtr,beta,-0.0016921481921238,-0.0031491403466442,-0.0002351560376034,0.0230094336524798,37073,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.031643586616178776
osteoporosis,whtr,beta,0.0063284720979475,0.0032939821104819,0.009362962085413,5.1489893183781e-05,37073,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",8.999871155993881e-05
smoking,whtr,beta,0.0005452675265482,-0.0015482343732742,0.0026387694263706,0.60974300301081,37073,"Age, years, Male sex",0.6539326603544678
alcohol,whtr,beta,-0.0070528315587812,-0.0094932133074189,-0.0046124498101434,1.61961197601493e-08,37073,"Age, years, Male sex",3.3954008211455856e-08
current_smoking,whtr,beta,0.0027679622009946,0.0019105584342327,0.0036253659677565,2.87879666389481e-10,37073,"Age, years, Male sex, Ever alcohol (past/current), Body mass index, kg/m2",6.49943708348559e-10
age,sbp,beta,6.75632799585245,6.57806287025929,6.93459312144562,0.0,37324,unadjusted,0.0
men,sbp,beta,4.8231085871515,4.46845933019021,5.1777578441128,3.39824126326293e-140,37324,unadjusted,4.585672693184689e-139
bmi,sbp,beta,3.49727257932489,3.32495650751221,3.66958865113756,1.71943050682491e-276,37324,"Age, years, Male sex",1.0093057075062222e-274
smoking,sbp,beta,-1.17331796012805,-1.61422085755532,-0.732415062700782,1.95819826644382e-07,37324,"Age, years, Male sex",3.918621758190417e-07
alcohol,sbp,beta,-2.37596780753229,-2.9771855250078,-1.77475009005677,1.3038243128330601e-14,37324,"Age, years, Male sex",3.3889809814007656e-14
wc,sbp,beta,3.55259354635103,3.36364240499636,3.74154468770571,5.2004000031879096e-244,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.2612109643491135e-242
height,sbp,beta,-1.03998609478167,-1.32518994920898,-0.75478224035435,1.11725868998814e-12,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.749814888985485e-12
weight,sbp,beta,3.40934176442223,3.21176269850613,3.60692083033833,1.3241953014475902e-211,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",3.986167394614028e-210
whtr,sbp,beta,3.89990244598493,3.70886917277501,4.09093571919485,6.140924435764561e-279,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",3.665819637756404e-277
fat_kg,sbp,beta,2.95999937560802,2.48762170958905,3.43237704162699,2.5641350712224697e-30,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",9.721080431480665e-30
lean_kg,sbp,beta,3.63058111116215,2.9434360422883,4.31772618003599,8.33226253061033e-23,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.6898468041072026e-22
